Day,Session,BehavType,ImagingFile,BehavFile,Alignment,ROI,TC,Neuropil,dff,Deconvolution
0,1,Tuning WhiteNoiseBef,cd040_000_000,,0,0,0,0,0,0
0,2,Tuning PuretoneBef,cd040_000_001,,0,0,0,0,0,0
1,1,Behavior,cd040_001_000,cd040_1v1.txt,0,0,0,0,0,0
1,2,Baseline,cd040_001_001,,0,0,0,0,0,0
2,1,Behavior,cd040_002_000,cd040_2v1.txt,0,0,0,0,0,0
2,2,Behavior,cd040_002_002,cd040_2v2.txt,0,0,0,0,0,0
2,3,Baseline,cd040_002_003,,0,0,0,0,0,0
2,4,Baseline,cd040_002_004,,0,0,0,0,0,0
3,1,Behavior,cd040_003_000,cd040_3v1.txt,0,0,0,0,0,0
3,2,Behavior,cd040_003_001,cd040_3v2.txt,0,0,0,0,0,0
3,3,Behavior,cd040_003_002,cd040_3v3.txt,0,0,0,0,0,0
3,4,Baseline,cd040_003_003,,0,0,0,0,0,0
4,1,Behavior,cd040_004_001,cd040_4v1.txt,0,0,0,0,0,0
4,2,Behavior,cd040_004_003,cd040_4v2.txt,0,0,0,0,0,0
4,3,Behavior,cd040_004_004,cd040_4v3.txt,0,0,0,0,0,0
4,4,Baseline,cd040_004_005,,0,0,0,0,0,0
5,1,Behavior,cd040_005_001,cd040_5v1.txt,0,0,0,0,0,0
5,2,Behavior,cd040_005_003,cd040_5v2.txt,0,0,0,0,0,0
5,3,Behavior,cd040_005_004,cd040_5v3.txt,0,0,0,0,0,0
5,4,Baseline,cd040_005_005,,0,0,0,0,0,0
6,1,Behavior,cd040_006_001,cd040_6v1.txt,0,0,0,0,0,0
6,2,Behavior,cd040_006_003,cd040_6v2.txt,0,0,0,0,0,0
6,3,Behavior,cd040_006_004,cd040_6v3.txt,0,0,0,0,0,0
6,4,Baseline,cd040_006_005,,0,0,0,0,0,0
7,1,Behavior,cd040_007_001,cd040_7v1.txt,0,0,0,0,0,0
7,2,Behavior,cd040_007_002,cd040_7v2.txt,0,0,0,0,0,0
7,3,Behavior,cd040_007_004,cd040_7v3.txt,0,0,0,0,0,0
7,4,Baseline,cd040_007_005,,0,0,0,0,0,0
8,1,Behavior,cd040_008_001,cd040_8v1.txt,0,0,0,0,0,0
8,2,Behavior,cd040_008_002,cd040_8v2.txt,0,0,0,0,0,0
8,3,Behavior,cd040_008_003,cd040_8v3.txt,0,0,0,0,0,0
8,4,Baseline,cd040_008_004,,0,0,0,0,0,0
9,1,Behavior,cd040_009_000,cd040_9v1.txt,0,0,0,0,0,0
9,2,Behavior,cd040_009_001,cd040_9v2.txt,0,0,0,0,0,0
9,3,Behavior,cd040_009_003,cd040_9v3.txt,0,0,0,0,0,0
9,4,Baseline,cd040_009_004,,0,0,0,0,0,0
10,1,Behavior,cd040_010_000,cd040_10v1.txt,0,0,0,0,0,0
10,2,Behavior,cd040_010_001,cd040_10v2.txt,0,0,0,0,0,0
10,3,Behavior,cd040_010_002,cd040_10v3.txt,0,0,0,0,0,0
10,4,Baseline,cd040_010_003,,0,0,0,0,0,0
11,1,Behavior,cd040_011_000,cd040_11v1.txt,0,0,0,0,0,0
11,2,Behavior,cd040_011_001,cd040_11v2.txt,0,0,0,0,0,0
11,3,Behavior,cd040_011_002,cd040_11v3.txt,0,0,0,0,0,0
11,4,Baseline,cd040_011_003,,0,0,0,0,0,0
12,1,Behavior,cd040_012_000,cd040_12v1.txt,0,0,0,0,0,0
12,2,Behavior,cd040_012_001,cd040_12v2.txt,0,0,0,0,0,0
12,3,Behavior,cd040_012_002,cd040_12v3.txt,0,0,0,0,0,0
12,4,Baseline,cd040_012_003,,0,0,0,0,0,0
13,1,Behavior,cd040_013_000,cd040_13v1.txt,0,0,0,0,0,0
13,2,Behavior,cd040_013_001,cd040_13v2.txt,0,0,0,0,0,0
13,3,Behavior,cd040_013_002,cd040_13v3.txt,0,0,0,0,0,0
13,4,Baseline,cd040_013_003,,0,0,0,0,0,0
