Day,Session,BehavType,ImagingFile,BehavFile,Alignment,ROI,TC,Neuropil,dff,Deconvolution,nFrames_oneplane,datapath,suite2ppath,h5path,sbxpath,behavpath,roiFile,tcFile
4,3,Behavior,cd037_004_002,cd037_4v3.txt,0,0,0,0,0,0,10066 10065,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
4,4,Baseline,cd037_004_003,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
5,1,Behavior,cd037_005_000,cd037_5v1.txt,0,0,0,0,0,0,11981 11980,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
5,2,Behavior,cd037_005_002,cd037_5v2.txt,0,0,0,0,0,0,11033 11032,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
5,3,Behavior,cd037_005_003,cd037_5v3.txt,0,0,0,0,0,0,9889 9889,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
5,4,Baseline,cd037_005_004,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
6,1,Behavior,cd037_006_001,cd037_6v1.txt,0,0,0,0,0,0,11777 11777,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
6,2,Behavior,cd037_006_002,cd037_6v2.txt,0,0,0,0,0,0,10569 10569,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
6,3,Behavior,cd037_006_003,cd037_6v3.txt,0,0,0,0,0,0,9665 9665,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
6,4,Baseline,cd037_006_004,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
7,1,Behavior,cd037_007_002,cd037_7v1.txt,0,0,0,0,0,0,12225 12224,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
7,2,Behavior,cd037_007_004,cd037_7v2.txt,0,0,0,0,0,0,10801 10801,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
7,3,Behavior,cd037_007_006,cd037_7v3.txt,0,0,0,0,0,0,10411 10411,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
7,4,Baseline,cd037_007_007,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
8,1,Behavior,cd037_008_000,cd037_8v1.txt,0,0,0,0,0,0,11228 11228,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
8,2,Behavior,cd037_008_001,cd037_8v2.txt,0,0,0,0,0,0,10831 10831,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
8,3,Behavior,cd037_008_002,cd037_8v3.txt,0,0,0,0,0,0,10255 10254,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
8,4,Baseline,cd037_008_003,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
